Id,Text,Context
Button_Start,スタート,メインメニュー
Button_Exit,終了,メインメニュー
Button_Settings,設定,メインメニュー
Button_Cancel,キャンセル,ダイアログ
Button_OK,OK,ダイアログ
Message_Welcome,ようこそ！,初回ログイン
Message_Goodbye,さようなら！,ログアウト
Message_Loading,ロード中...,データロード
Message_SaveComplete,セーブ完了,セーブ通知
Error_NetworkDisconnected,ネットワーク接続が切断されました,エラーポップアップ
Error_InvalidInput,無効な入力です,入力検証
Error_FileNotFound,ファイルが見つかりません,ファイルエラー
Character_Hero_Name,勇者,キャラクター名
Character_Hero_Desc,正義を守る勇敢な戦士,キャラクター説明
Character_Mage_Name,大魔法使い,キャラクター名
Character_Mage_Desc,古代の知恵を持つ魔法使い,キャラクター説明
Item_Sword_Name,鋼の剣,アイテム名
Item_Sword_Desc,頑丈な鋼で作られた剣,アイテム説明
Item_Shield_Name,木の盾,アイテム名
Item_Shield_Desc,丈夫な木で作られた盾,アイテム説明
